@relation dataset

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute class {positive,negative}

@data
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
1,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
0,1,1,1,1,1,1,negative
